                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.74156,                0.98217,                 1.0628,                0.90063,                0.86994,                0.94756,                0.80836,                0.55671,                0.61789,                0.92399,             0.00065734,             0.00065734,             0.00065734
                     47,                0.75952,                0.98498,                 1.0701,                0.89727,                0.87224,                0.93975,                0.79801,                0.56356,                 0.6347,                0.93634,              0.0006548,              0.0006548,              0.0006548
                     48,                 0.7228,                0.95664,                 1.0498,                0.92523,                 0.8905,                 0.9569,                0.81671,                 0.5457,                0.56862,                0.91971,             0.00065227,             0.00065227,             0.00065227
                     49,                0.74857,                0.98384,                 1.0637,                0.92128,                0.87459,                0.95038,                0.81715,                0.54274,                0.60211,                0.91201,             0.00064973,             0.00064973,             0.00064973
                     50,                0.72487,                0.97414,                 1.0515,                0.93497,                0.86503,                0.95237,                0.81163,                0.55537,                 0.5874,                0.92461,             0.00064719,             0.00064719,             0.00064719
                     51,                0.70963,                0.96867,                 1.0544,                0.92133,                0.88552,                0.95551,                0.82264,                0.53969,                0.57688,                0.91409,             0.00064465,             0.00064465,             0.00064465
                     52,                 0.7312,                0.95275,                 1.0546,                0.91944,                0.88614,                0.95108,                0.81159,                0.55011,                0.59999,                0.92643,             0.00064212,             0.00064212,             0.00064212
                     53,                0.72366,                0.91586,                 1.0465,                 0.9031,                0.85716,                0.94464,                0.80528,                0.55033,                0.63167,                 0.9208,             0.00063958,             0.00063958,             0.00063958
                     54,                 0.7215,                0.89939,                 1.0508,                0.91732,                0.88676,                0.95288,                0.82704,                 0.5256,                0.58341,                0.90484,             0.00063704,             0.00063704,             0.00063704
                     55,                0.72857,                0.92701,                 1.0551,                0.91984,                0.89349,                0.96163,                0.83319,                0.52684,                0.54142,                0.90574,              0.0006345,              0.0006345,              0.0006345
                     56,                0.71852,                0.91339,                 1.0513,                0.94165,                0.87764,                0.95699,                0.81815,                0.54543,                 0.5729,                0.91082,             0.00063196,             0.00063196,             0.00063196
                     57,                0.70534,                0.89883,                 1.0453,                0.94131,                0.89492,                0.96628,                0.83413,                0.53572,                0.52396,                0.90982,             0.00062943,             0.00062943,             0.00062943
                     58,                 0.6956,                0.87662,                 1.0366,                0.93413,                0.89714,                0.96161,                0.83125,                 0.5237,                0.54778,                0.90309,             0.00062689,             0.00062689,             0.00062689
                     59,                0.69148,                0.87122,                 1.0416,                 0.9327,                0.89482,                0.95706,                0.82114,                0.52797,                0.54216,                0.90572,             0.00062435,             0.00062435,             0.00062435
                     60,                0.70674,                 0.8919,                 1.0449,                0.94018,                0.90144,                0.96209,                0.83098,                0.52961,                 0.5282,                0.89515,             0.00062181,             0.00062181,             0.00062181
                     61,                0.70231,                0.85543,                 1.0454,                 0.9383,                0.92879,                0.96869,                0.82785,                0.52855,                0.51894,                0.90249,             0.00061928,             0.00061928,             0.00061928
                     62,                0.72217,                 0.8706,                 1.0505,                0.95703,                0.91815,                0.97098,                0.83683,                0.52953,                0.48418,                0.89444,             0.00061674,             0.00061674,             0.00061674
                     63,                0.69675,                0.84771,                 1.0381,                0.92462,                0.90128,                0.96479,                0.82938,                0.53156,                0.55603,                0.90651,              0.0006142,              0.0006142,              0.0006142
                     64,                0.67038,                 0.8287,                 1.0336,                0.95019,                0.91405,                0.97201,                0.84661,                0.50854,                 0.4952,                0.89112,             0.00061166,             0.00061166,             0.00061166
                     65,                0.69134,                 0.8291,                 1.0327,                0.95762,                0.93743,                0.97724,                0.85454,                 0.5111,                0.47071,                0.89224,             0.00060912,             0.00060912,             0.00060912
                     66,                0.68849,                0.82512,                 1.0316,                0.95183,                0.92028,                0.97292,                0.85632,                0.49503,                0.47589,                0.88869,             0.00060659,             0.00060659,             0.00060659
                     67,                0.68217,                0.79556,                 1.0392,                 0.9618,                0.90337,                0.97169,                0.85382,                0.49706,                0.49262,                0.88942,             0.00060405,             0.00060405,             0.00060405
                     68,                0.67832,                0.79137,                 1.0254,                 0.9509,                0.92951,                0.97261,                0.84707,                0.51502,                0.47675,                0.89385,             0.00060151,             0.00060151,             0.00060151
                     69,                0.67051,                0.81279,                  1.026,                0.95973,                0.93379,                0.97567,                0.85871,                0.48525,                0.44245,                0.88116,             0.00059897,             0.00059897,             0.00059897
                     70,                0.67419,                0.78458,                 1.0262,                0.95698,                0.91675,                 0.9738,                0.85111,                0.49903,                0.47488,                0.88738,             0.00059644,             0.00059644,             0.00059644
                     71,                0.69737,                0.79916,                 1.0361,                0.94554,                0.92712,                0.97433,                0.85019,                 0.4952,                0.47732,                0.89177,              0.0005939,              0.0005939,              0.0005939
                     72,                0.66358,                0.76681,                 1.0224,                0.95442,                0.92719,                0.97321,                0.85066,                0.50476,                0.46287,                0.89577,             0.00059136,             0.00059136,             0.00059136
                     73,                0.66599,                0.77603,                 1.0186,                0.96772,                0.94778,                0.97918,                0.87008,                0.47401,                0.42681,                0.87441,             0.00058882,             0.00058882,             0.00058882
                     74,                0.65676,                0.75853,                 1.0188,                0.95769,                0.93142,                0.97562,                0.86615,                0.47599,                 0.4493,                0.87734,             0.00058629,             0.00058629,             0.00058629
                     75,                0.66202,                0.78184,                 1.0222,                0.96422,                0.93927,                0.97917,                0.86474,                0.48604,                0.41959,                0.87599,             0.00058375,             0.00058375,             0.00058375
                     76,                 0.6599,                0.77274,                 1.0131,                0.97033,                0.93315,                0.97778,                0.86011,                0.48522,                0.43308,                0.87642,             0.00058121,             0.00058121,             0.00058121
                     77,                0.67758,                0.79165,                 1.0252,                0.96473,                0.91948,                0.97328,                 0.8588,                 0.4808,                0.45943,                0.87518,             0.00057867,             0.00057867,             0.00057867
                     78,                0.64135,                0.74422,                 1.0064,                0.96079,                0.93883,                 0.9769,                0.87102,                0.46739,                0.41721,                0.86754,             0.00057613,             0.00057613,             0.00057613
                     79,                0.68274,                0.76865,                 1.0277,                0.97499,                0.93627,                 0.9791,                 0.8662,                0.46989,                0.41943,                0.86711,              0.0005736,              0.0005736,              0.0005736
                     80,                0.64212,                0.74134,                  1.013,                0.96586,                0.93611,                0.97946,                0.86491,                0.47959,                0.42133,                0.86704,             0.00057106,             0.00057106,             0.00057106
                     81,                0.65484,                0.73224,                 1.0152,                0.97237,                0.94429,                0.98107,                0.87007,                 0.4661,                0.41021,                0.86678,             0.00056852,             0.00056852,             0.00056852
                     82,                0.65946,                0.74177,                 1.0179,                 0.9714,                0.94063,                0.97958,                0.87004,                0.46461,                0.41288,                0.86749,             0.00056598,             0.00056598,             0.00056598
                     83,                0.66115,                0.73866,                 1.0192,                0.97535,                0.95389,                 0.9843,                 0.8792,                0.46646,                0.39949,                0.87331,             0.00056345,             0.00056345,             0.00056345
                     84,                0.64294,                0.70136,                 1.0135,                0.96426,                0.95054,                0.98315,                0.87539,                0.46097,                0.40288,                 0.8687,             0.00056091,             0.00056091,             0.00056091
                     85,                0.65546,                0.73539,                 1.0166,                0.97587,                 0.9536,                0.98473,                0.87926,                0.46033,                0.40031,                0.86834,             0.00055837,             0.00055837,             0.00055837
                     86,                0.63815,                0.71178,                 1.0116,                0.97998,                0.94731,                0.98232,                0.88055,                0.45713,                0.39445,                0.86528,             0.00055583,             0.00055583,             0.00055583
                     87,                0.65716,                0.71099,                 1.0128,                0.96747,                0.95465,                 0.9813,                0.87327,                0.45841,                0.40033,                  0.858,              0.0005533,              0.0005533,              0.0005533
                     88,                0.63207,                0.71017,                 1.0075,                 0.9727,                0.95063,                0.98249,                0.88114,                0.45166,                0.38828,                0.86153,             0.00055076,             0.00055076,             0.00055076
                     89,                0.65272,                0.70172,                 1.0143,                 0.9737,                0.94187,                0.98353,                0.87563,                0.45995,                0.41121,                0.86224,             0.00054822,             0.00054822,             0.00054822
                     90,                0.62488,                0.68306,                0.99655,                0.98547,                0.95291,                0.98577,                0.88347,                0.43908,                0.37614,                0.85621,             0.00054568,             0.00054568,             0.00054568
                     91,                0.63045,                0.69052,                 1.0095,                0.97273,                0.95679,                0.98584,                0.88153,                0.45211,                 0.3872,                0.86646,             0.00054314,             0.00054314,             0.00054314
                     92,                0.62991,                0.68541,                 1.0042,                0.98185,                0.96367,                0.98661,                0.87723,                0.46793,                0.38126,                 0.8623,             0.00054061,             0.00054061,             0.00054061
                     93,                0.62207,                0.68502,                  1.004,                0.97891,                0.95563,                0.98513,                0.87938,                0.46011,                0.38849,                0.86592,             0.00053807,             0.00053807,             0.00053807
                     94,                 0.6325,                  0.678,                0.99926,                0.98272,                0.95187,                0.98474,                0.87629,                0.44952,                0.38543,                 0.8604,             0.00053553,             0.00053553,             0.00053553
                     95,                0.61989,                0.66163,                0.99169,                0.96997,                0.95962,                0.98488,                0.88293,                0.44889,                0.38198,                0.85707,             0.00053299,             0.00053299,             0.00053299
                     96,                0.62949,                0.66935,                 1.0049,                 0.9798,                0.95931,                 0.9855,                0.88487,                0.44528,                0.37326,                0.85687,             0.00053046,             0.00053046,             0.00053046
                     97,                0.63447,                0.67514,                0.99853,                0.97487,                0.95551,                0.98419,                0.88486,                0.44525,                0.37488,                0.85538,             0.00052792,             0.00052792,             0.00052792
                     98,                0.62081,                0.67549,                 1.0001,                0.96514,                0.94856,                0.98146,                0.87393,                0.46718,                0.39301,                0.86562,             0.00052538,             0.00052538,             0.00052538
                     99,                0.61255,                 0.6662,                0.98672,                0.97359,                 0.9496,                0.98358,                0.88882,                0.43269,                0.38233,                 0.8521,             0.00052284,             0.00052284,             0.00052284
                    100,                0.61417,                0.66677,                0.98995,                0.98263,                0.94769,                 0.9855,                0.89024,                0.43049,                0.37168,                0.84937,             0.00052031,             0.00052031,             0.00052031
                    101,                 0.5978,                0.62604,                0.98086,                0.98156,                0.95894,                0.98707,                0.88937,                0.43069,                0.36039,                0.84548,             0.00051777,             0.00051777,             0.00051777
                    102,                0.61991,                0.65478,                0.99417,                0.97973,                0.95388,                0.98549,                0.88226,                0.43731,                0.36813,                 0.8512,             0.00051523,             0.00051523,             0.00051523
                    103,                0.61662,                0.64784,                0.99552,                0.98609,                0.96054,                0.98826,                0.89244,                0.42271,                0.35272,                0.84689,             0.00051269,             0.00051269,             0.00051269
                    104,                0.61969,                0.64726,                0.99945,                0.97304,                0.95774,                0.98621,                0.88545,                0.44007,                0.36572,                0.85472,             0.00051015,             0.00051015,             0.00051015
                    105,                0.61414,                0.65256,                0.99612,                0.98025,                 0.9619,                0.98725,                 0.8936,                0.42158,                0.34905,                0.84362,             0.00050762,             0.00050762,             0.00050762
                    106,                0.61806,                0.66535,                  1.004,                0.98859,                0.96497,                0.98764,                0.90273,                0.41881,                0.34694,                0.84534,             0.00050508,             0.00050508,             0.00050508
                    107,                0.62106,                0.66037,                 1.0012,                0.96624,                0.96555,                0.98671,                0.89905,                0.41745,                0.35837,                0.84478,             0.00050254,             0.00050254,             0.00050254
                    108,                0.60033,                0.64046,                0.99337,                0.98175,                0.95987,                 0.9881,                0.90155,                0.41371,                0.34073,                0.84576,                 0.0005,                 0.0005,                 0.0005
                    109,                0.61796,                0.64239,                 0.9909,                0.98495,                0.96483,                0.98723,                0.88918,                0.42527,                0.35151,                0.84206,             0.00049747,             0.00049747,             0.00049747
                    110,                0.57813,                0.62499,                0.98195,                0.98476,                0.96768,                0.98831,                0.89985,                0.41469,                0.33403,                0.84007,             0.00049493,             0.00049493,             0.00049493
                    111,                0.60048,                0.62503,                0.98736,                0.98411,                0.96813,                0.98741,                0.89978,                 0.4156,                 0.3371,                0.83741,             0.00049239,             0.00049239,             0.00049239
                    112,                0.60965,                0.62746,                0.98316,                0.98604,                 0.9659,                0.98764,                 0.8961,                0.41743,                0.34361,                0.84184,             0.00048985,             0.00048985,             0.00048985
                    113,                0.59059,                0.62155,                0.98497,                0.98552,                0.96689,                0.98901,                0.89981,                0.41414,                 0.3445,                0.84046,             0.00048732,             0.00048732,             0.00048732
