                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.59239,                 0.6364,                0.99783,                0.98199,                0.96843,                0.98812,                0.90011,                0.40944,                0.34251,                0.85242,             0.00058629,             0.00058629,             0.00058629
                     75,                0.60475,                0.66234,                 1.0059,                0.96973,                0.96295,                0.98619,                 0.8986,                0.41871,                0.35851,                 0.8555,             0.00058375,             0.00058375,             0.00058375
                     76,                0.59008,                 0.6561,                0.99287,                0.97038,                0.95435,                 0.9852,                0.90123,                0.41215,                0.35671,                0.84916,             0.00058121,             0.00058121,             0.00058121
                     77,                   0.61,                0.67721,                 1.0046,                0.97611,                0.95657,                0.98492,                0.90138,                0.41263,                0.36721,                0.84553,             0.00057867,             0.00057867,             0.00057867
                     78,                0.57754,                0.62371,                0.98973,                 0.9745,                0.95904,                  0.988,                0.90362,                0.41012,                0.35137,                0.84975,             0.00057613,             0.00057613,             0.00057613
                     79,                0.59733,                  0.644,                      1,                0.97554,                0.96883,                0.98791,                0.90498,                 0.4006,                0.34005,                0.84558,              0.0005736,              0.0005736,              0.0005736
                     80,                 0.5854,                0.62968,                0.99531,                 0.9778,                0.95313,                0.98423,                0.89464,                0.41728,                0.35298,                0.84827,             0.00057106,             0.00057106,             0.00057106
                     81,                0.59642,                0.63777,                0.99995,                0.97939,                0.95623,                0.98658,                0.89242,                0.43202,                0.35754,                0.86036,             0.00056852,             0.00056852,             0.00056852
                     82,                0.59038,                0.60796,                 1.0005,                 0.9798,                0.96381,                0.98779,                0.90417,                0.41135,                 0.3457,                0.84766,             0.00056598,             0.00056598,             0.00056598
                     83,                0.59239,                0.63544,                0.99795,                0.98147,                0.97249,                0.98925,                0.90752,                0.39326,                0.32161,                0.84461,             0.00056345,             0.00056345,             0.00056345
                     84,                0.57845,                0.59201,                0.99398,                0.97888,                 0.9717,                0.98911,                0.90717,                0.40238,                 0.3313,                0.84545,             0.00056091,             0.00056091,             0.00056091
                     85,                0.58987,                0.61514,                0.99676,                0.98147,                0.97066,                0.98901,                0.90479,                0.40805,                0.33187,                0.84337,             0.00055837,             0.00055837,             0.00055837
                     86,                0.57245,                0.60425,                0.99129,                0.97891,                0.96567,                0.98809,                0.91671,                0.38529,                0.32629,                0.83736,             0.00055583,             0.00055583,             0.00055583
                     87,                0.57863,                0.60501,                0.98167,                0.97224,                0.95572,                0.98723,                0.90197,                0.40164,                0.35225,                0.84062,              0.0005533,              0.0005533,              0.0005533
                     88,                0.56537,                0.60713,                0.99029,                0.98937,                0.97001,                0.98856,                0.91173,                0.39188,                0.31863,                0.83752,             0.00055076,             0.00055076,             0.00055076
                     89,                0.58627,                0.58543,                0.99234,                0.98782,                 0.9687,                0.98874,                0.90751,                0.39233,                0.31854,                0.83508,             0.00054822,             0.00054822,             0.00054822
                     90,                0.56972,                0.59331,                 0.9802,                0.98127,                0.95931,                0.98779,                0.91283,                0.38602,                0.33036,                0.83569,             0.00054568,             0.00054568,             0.00054568
                     91,                0.57503,                0.59096,                0.99465,                0.98884,                0.97249,                0.98928,                0.91091,                0.38677,                 0.3138,                0.83504,             0.00054314,             0.00054314,             0.00054314
                     92,                0.56185,                0.58344,                0.98161,                0.98481,                0.97643,                0.99021,                0.91695,                0.38813,                0.30992,                0.83325,             0.00054061,             0.00054061,             0.00054061
                     93,                0.56052,                0.57137,                0.98667,                0.98285,                0.97974,                0.98974,                0.91817,                 0.3838,                0.30337,                0.83357,             0.00053807,             0.00053807,             0.00053807
                     94,                0.56918,                0.56506,                 0.9848,                0.98449,                0.97629,                0.99081,                0.91849,                 0.3837,                0.30713,                0.83432,             0.00053553,             0.00053553,             0.00053553
                     95,                  0.553,                0.55064,                0.96749,                0.98206,                0.97259,                0.99086,                0.91129,                0.38856,                0.31282,                0.83557,             0.00053299,             0.00053299,             0.00053299
                     96,                0.55479,                0.55609,                0.98243,                0.98517,                0.96786,                0.98947,                0.91715,                0.37873,                0.30386,                0.82805,             0.00053046,             0.00053046,             0.00053046
                     97,                0.55445,                0.56518,                0.97281,                0.98697,                0.97993,                0.99099,                0.92222,                0.37916,                0.29752,                0.83061,             0.00052792,             0.00052792,             0.00052792
                     98,                 0.5589,                0.56723,                0.98464,                0.98948,                0.97482,                0.99153,                0.91867,                0.37725,                0.30516,                0.83423,             0.00052538,             0.00052538,             0.00052538
                     99,                0.53975,                0.55468,                0.96872,                0.98262,                0.97232,                0.99104,                0.92156,                0.38026,                0.30476,                0.83576,             0.00052284,             0.00052284,             0.00052284
                    100,                0.54573,                0.55697,                0.97412,                0.98749,                 0.9753,                0.99133,                0.92063,                0.37273,                0.30461,                 0.8341,             0.00052031,             0.00052031,             0.00052031
                    101,                0.52764,                 0.5423,                0.96205,                0.98644,                 0.9765,                0.99104,                0.92249,                0.37644,                 0.3031,                0.82847,             0.00051777,             0.00051777,             0.00051777
                    102,                0.55683,                 0.5545,                0.97532,                0.98437,                 0.9762,                0.99157,                0.92019,                 0.3811,                 0.3055,                 0.8303,             0.00051523,             0.00051523,             0.00051523
                    103,                0.55213,                0.55621,                0.97295,                0.99302,                0.96965,                0.99108,                0.92127,                0.36795,                0.29204,                0.83023,             0.00051269,             0.00051269,             0.00051269
                    104,                0.54118,                0.54435,                0.97541,                0.98659,                0.97843,                0.99125,                 0.9206,                0.37811,                 0.2956,                0.82833,             0.00051015,             0.00051015,             0.00051015
                    105,                0.53839,                0.54531,                0.97439,                0.99222,                0.98008,                0.99215,                0.92661,                0.36541,                0.28702,                0.82232,             0.00050762,             0.00050762,             0.00050762
                    106,                0.54132,                0.55965,                0.97707,                 0.9855,                0.97749,                 0.9923,                0.92348,                0.36384,                0.29644,                0.82431,             0.00050508,             0.00050508,             0.00050508
                    107,                0.55288,                 0.5456,                0.98607,                0.98077,                0.97908,                0.99174,                0.92294,                0.36922,                0.29409,                0.82877,             0.00050254,             0.00050254,             0.00050254
                    108,                0.53504,                0.55783,                0.97268,                0.99046,                0.97501,                0.99102,                0.92721,                0.36066,                0.29429,                0.82325,                 0.0005,                 0.0005,                 0.0005
                    109,                0.53793,                 0.5367,                0.95852,                0.98912,                0.97907,                0.99199,                0.92378,                 0.3616,                 0.2909,                0.82203,             0.00049747,             0.00049747,             0.00049747
                    110,                0.52243,                  0.524,                0.97079,                0.98949,                0.97755,                0.99262,                0.93011,                0.36085,                0.28114,                0.81748,             0.00049493,             0.00049493,             0.00049493
                    111,                0.52631,                0.51512,                0.96663,                0.99208,                0.97699,                0.99236,                0.92994,                0.36114,                0.27962,                0.81819,             0.00049239,             0.00049239,             0.00049239
                    112,                0.54084,                0.51525,                0.96063,                0.98935,                0.98034,                0.99191,                 0.9205,                0.36614,                0.28817,                0.81794,             0.00048985,             0.00048985,             0.00048985
                    113,                0.52063,                0.52138,                0.95981,                0.98998,                0.97748,                0.99188,                 0.9283,                0.35625,                0.29073,                0.82011,             0.00048732,             0.00048732,             0.00048732
                    114,                0.51398,                0.52988,                0.95921,                0.99209,                0.97908,                0.99188,                0.93216,                0.35675,                0.28377,                0.81813,             0.00048478,             0.00048478,             0.00048478
                    115,                0.52319,                0.51627,                0.96382,                0.98516,                0.97752,                0.99093,                0.92939,                 0.3423,                0.27809,                 0.8163,             0.00048224,             0.00048224,             0.00048224
                    116,                0.51928,                 0.5101,                0.95513,                0.98861,                0.97992,                0.99275,                0.93154,                0.34919,                0.27103,                0.81659,              0.0004797,              0.0004797,              0.0004797
                    117,                0.51758,                0.50284,                0.96045,                0.99174,                0.97905,                0.99194,                0.93286,                0.35083,                0.27015,                0.81586,             0.00047716,             0.00047716,             0.00047716
                    118,                0.51333,                0.50405,                0.95316,                0.98804,                0.97937,                0.99253,                0.93199,                0.34558,                0.27886,                 0.8174,             0.00047463,             0.00047463,             0.00047463
                    119,                0.50637,                 0.5093,                0.94941,                 0.9931,                0.97721,                0.99254,                 0.9355,                0.34367,                0.27415,                0.81283,             0.00047209,             0.00047209,             0.00047209
                    120,                0.51028,                0.50479,                0.95363,                0.98656,                0.98184,                0.99313,                0.93377,                0.34219,                 0.2759,                0.81456,             0.00046955,             0.00046955,             0.00046955
                    121,                0.51877,                0.51234,                0.96287,                0.98834,                0.98005,                0.99251,                0.93502,                0.34185,                0.27575,                0.81502,             0.00046701,             0.00046701,             0.00046701
                    122,                0.51285,                0.49308,                0.95879,                0.99208,                0.98162,                0.99317,                0.93706,                0.33717,                0.26919,                0.81169,             0.00046448,             0.00046448,             0.00046448
                    123,                0.50586,                0.49908,                0.95471,                0.98832,                0.98204,                0.99263,                0.93805,                0.33365,                0.26761,                0.80974,             0.00046194,             0.00046194,             0.00046194
                    124,                0.51194,                0.50075,                 0.9495,                0.99201,                0.98263,                0.99205,                0.93615,                 0.3369,                0.26418,                0.80934,              0.0004594,              0.0004594,              0.0004594
