                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.59215,                0.71702,                 1.0238,                0.96327,                0.95236,                 0.9847,                0.89454,                0.41023,                0.36953,                0.86359,             0.00059644,             0.00059644,             0.00059644
                     71,                0.60459,                0.73767,                 1.0319,                0.96485,                0.93573,                0.98033,                0.89863,                0.39293,                0.38366,                0.85501,              0.0005939,              0.0005939,              0.0005939
                     72,                0.59013,                0.72784,                 1.0297,                0.95809,                 0.9419,                0.98035,                0.89746,                0.39286,                 0.3891,                0.85412,             0.00059136,             0.00059136,             0.00059136
                     73,                0.59103,                0.69427,                  1.021,                0.97281,                0.94336,                0.98243,                0.89875,                0.40097,                0.36089,                 0.8516,             0.00058882,             0.00058882,             0.00058882
                     74,                0.56915,                0.67775,                 1.0105,                0.97571,                0.94891,                0.98551,                0.90427,                0.39148,                0.34739,                0.85168,             0.00058629,             0.00058629,             0.00058629
                     75,                0.58226,                 0.7222,                 1.0181,                 0.9726,                0.93865,                 0.9846,                0.90483,                0.38698,                0.36197,                0.84998,             0.00058375,             0.00058375,             0.00058375
                     76,                0.56706,                0.70608,                 1.0118,                0.97144,                0.95695,                0.98481,                0.90443,                0.38821,                0.34996,                0.84609,             0.00058121,             0.00058121,             0.00058121
                     77,                 0.5788,                0.71614,                 1.0178,                0.97176,                0.94061,                0.98353,                0.90372,                0.38537,                  0.352,                0.83873,             0.00057867,             0.00057867,             0.00057867
                     78,                0.56784,                0.67479,                 1.0127,                0.97041,                0.95568,                0.98541,                0.90357,                0.38686,                0.35149,                0.85034,             0.00057613,             0.00057613,             0.00057613
                     79,                0.58217,                 0.7038,                 1.0238,                0.98306,                 0.9452,                0.98577,                0.90569,                0.38089,                0.34487,                0.84168,              0.0005736,              0.0005736,              0.0005736
                     80,                 0.5696,                0.68496,                 1.0199,                0.96059,                0.94751,                0.98275,                0.90325,                0.38263,                0.34903,                0.84519,             0.00057106,             0.00057106,             0.00057106
                     81,                0.56615,                0.66998,                  1.012,                 0.9639,                0.95374,                0.98605,                0.91173,                0.37036,                0.34104,                0.84094,             0.00056852,             0.00056852,             0.00056852
                     82,                0.57194,                0.65954,                 1.0209,                0.96655,                0.95556,                0.98582,                0.91247,                0.37634,                0.34221,                0.84442,             0.00056598,             0.00056598,             0.00056598
                     83,                0.56728,                0.66101,                 1.0075,                0.97537,                  0.966,                0.98904,                0.92077,                0.35778,                0.31986,                0.83407,             0.00056345,             0.00056345,             0.00056345
                     84,                0.55676,                 0.6286,                 1.0128,                 0.9868,                0.96814,                0.98859,                0.92357,                0.36426,                0.30581,                 0.8278,             0.00056091,             0.00056091,             0.00056091
                     85,                0.56829,                0.64701,                 1.0115,                0.97659,                0.96176,                0.98686,                0.90804,                0.37604,                0.33377,                0.83561,             0.00055837,             0.00055837,             0.00055837
                     86,                0.54804,                0.63071,                  1.006,                0.98226,                0.96454,                0.98916,                0.92451,                 0.3556,                0.30691,                0.83031,             0.00055583,             0.00055583,             0.00055583
                     87,                 0.5538,                0.63089,                 0.9996,                0.97758,                 0.9694,                0.98891,                 0.9186,                0.36706,                0.31206,                0.83002,              0.0005533,              0.0005533,              0.0005533
                     88,                0.53215,                 0.6252,                 0.9988,                0.98126,                0.97396,                0.98902,                0.91809,                0.35815,                0.31186,                0.82903,             0.00055076,             0.00055076,             0.00055076
                     89,                0.56145,                0.62998,                 1.0124,                0.97761,                 0.9599,                0.98775,                0.92067,                0.36202,                0.32015,                0.83667,             0.00054822,             0.00054822,             0.00054822
                     90,                0.53627,                0.60634,                0.98697,                0.98709,                0.96103,                0.98893,                0.92458,                0.34734,                0.30205,                 0.8241,             0.00054568,             0.00054568,             0.00054568
                     91,                0.54805,                0.62259,                 1.0075,                0.97601,                0.96733,                0.98921,                0.91832,                0.36135,                0.31921,                0.83174,             0.00054314,             0.00054314,             0.00054314
